date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:12	68395/68395	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2020:46:11%20GMT	https://pharaohsoft.com/magento-ecommerce-development-company/	work/pharaohsoft/pharaohsoft.com/magento-ecommerce-development-company/index.html	(from https://pharaohsoft.com/wp-content/themes/pharaohsoft/assets/js/main.js?ver=1.0)
22:46:12	2561/2561	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:12%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fa-propos-de-nous%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed0145.json	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:12%20GMT	https://pharaohsoft.com/?p=154	work/pharaohsoft/pharaohsoft.com/index87e6.html	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:13	2764/2764	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:13%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fa-propos-de-nous%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed1071	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.129.delayed	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.12a.delayed	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.12b.delayed	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.12c.delayed	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.12d.delayed	(from https://pharaohsoft.com/fr/a-propos-de-nous/)
22:46:14	7967/7967	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:14%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/223	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/223.json	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:15	2235/2235	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:15%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fcontact-fr%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed262a.json	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:16	2400/2400	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:16%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fcontact-fr%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embedb311	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.131.delayed	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.132.delayed	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.133.delayed	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.134.delayed	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.135.delayed	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:16%20GMT	https://pharaohsoft.com/?p=223	work/pharaohsoft/pharaohsoft.com/indexd027.html	(from https://pharaohsoft.com/fr/contact-fr/)
22:46:17	7820/7820	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:17%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/156	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/156.json	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:18	2337/2337	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:18%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fprix-et-reconnaissance%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embedaaa8.json	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:19%20GMT	https://pharaohsoft.com/?p=156	work/pharaohsoft/pharaohsoft.com/indexd1a7.html	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
